parent_article,cycle_archetype,line_no,component,item_type,sfg_code,bom_qty,fg_qty,godown,consumed_at_stage
5 Grain Cereal 35gm,B: Transform->Pack (in-line),2,Rice Lahi,rm,,0.03,10,Factory,Create WIP
5 Grain Cereal 35gm,B: Transform->Pack (in-line),3,Ragi Puff,rm,,0.05,10,Factory,Create WIP
5 Grain Cereal 35gm,B: Transform->Pack (in-line),4,Pumpkin Seed 12%,rm,,0.01,10,Factory,Create WIP
5 Grain Cereal 35gm,B: Transform->Pack (in-line),5,Sunflower Seeds,rm,,0.02,10,Factory,Create WIP
5 Grain Cereal 35gm,B: Transform->Pack (in-line),6,Water Melon Seed,rm,,0.03,10,Factory,Create WIP
5 Grain Cereal 35gm,B: Transform->Pack (in-line),7,Glucose Syrup / Liquid Glucose,rm,,0.19,10,Factory,Create WIP
5 Grain Cereal 35gm,B: Transform->Pack (in-line),8,PM24 - On The Run 5 Grain Cerial Original 35 gm,pm,,2,10,Factory,Final FG (packing)
5 Grain Cereal 50 GM,B: Transform->Pack (in-line),1,Jawar Puff,rm,,0.05,10,Factory,Create WIP
5 Grain Cereal 50 GM,B: Transform->Pack (in-line),2,Rice Lahi,rm,,0.04,10,Factory,Create WIP
5 Grain Cereal 50 GM,B: Transform->Pack (in-line),3,Wheat Puff,rm,,0.05,10,Factory,Create WIP
5 Grain Cereal 50 GM,B: Transform->Pack (in-line),4,Ragi Puff,rm,,0.05,10,Factory,Create WIP
5 Grain Cereal 50 GM,B: Transform->Pack (in-line),5,Amarath Puff,rm,,0.07,10,Factory,Create WIP
5 Grain Cereal 50 GM,B: Transform->Pack (in-line),6,Pumpkin Seed 12%,rm,,0.01,10,Factory,Create WIP
5 Grain Cereal 50 GM,B: Transform->Pack (in-line),7,Sunflower Seeds,rm,,0.02,10,Factory,Create WIP
5 Grain Cereal 50 GM,B: Transform->Pack (in-line),8,Water Melon Seed,rm,,0.03,10,Factory,Create WIP
5 Grain Cereal 50 GM,B: Transform->Pack (in-line),9,Glucose Syrup / Liquid Glucose,rm,,0.25,10,Factory,Create WIP
Abjosh (Munakka) 100gm,D: Pack-only,1,Afghan Munakka / Abjosh 1X2,rm,,0.1,1,Factory,Final FG (Sorting+Packing)
Abjosh (Munakka) 100gm,D: Pack-only,2,PM24-Abjosh Manuka Pouch 100 gm,pm,,1,1,Factory,Final FG (packing)
Abjosh (Munakka) 100gm,D: Pack-only,3,PM24-5 Ply Carton Seeds Pouch 5 Kg,pm,,0.02,1,Factory,Final FG (packing)
Afghan Black Raisins Seedless 1*1,D: Pack-only,1,Afghan Black Raisins Seedless 1*1,rm,,1,1,Factory,Final FG (Sorting+Packing)
Afghan Raisins 1*1 Green round,D: Pack-only,1,Afghan Raisins 1*1 Green round,rm,,1,1,Factory,Final FG (Sorting+Packing)
Al Barakah Ajwa Dates 400gm,D: Pack-only,1,Ajwa Dates,rm,,0.4,1,Factory,Final FG (Sorting+Packing)
Al Barakah Ajwa Dates 400gm,D: Pack-only,2,PM24-Al Barakah Ajwa Dates 400 gm,pm,,1,1,Factory,Final FG (packing)
Al Barakah Ajwa Dates 400gm,D: Pack-only,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.04,1,Factory,Final FG (packing)
Al Barakah Arabian Dates 600g,,1,AL BARAKAH BARHI DATES 10KG,rm,,0.6,1,Factory,Final FG (Sorting+Packing)
Al Barakah Arabian Dates 600g,,2,PM24-Al Barakah Oman Date Pouch 500 gm,pm,,1,1,PM Store,Final FG (packing)
Al Barakah Arabian Dates 600g,,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.05,1,PM Store,Final FG (packing)
Al Barakah Dates Ajwa 35gm,,1,Ajwa Dates,rm,,0.035,1,Factory,Final FG (Sorting+Packing)
Al Barakah Dates Ajwa 35gm,,2,PM24-Al Barakah Ajwa Dates Pouch-190mm x 115 mm-Sample Pouch 50 gm,pm,,1,1,PM Store,Final FG (packing)
Al Barakah Dates Arabian 400g,D: Pack-only,1,AL BARAKAH KHALAS DATES,rm,,0.4,1,Factory,Final FG (Sorting+Packing)
Al Barakah Dates Arabian 400g,D: Pack-only,2,PM24-Al Barakha Arabian Dates Pouch 400gm,pm,,1,1,Factory,Final FG (packing)
Al Barakah Dates Arabian 500g,D: Pack-only,1,10KG AL BARKAH SUFRI DATES,rm,,0.5,1,Factory,Final FG (Sorting+Packing)
Al Barakah Dates Arabian 500g,D: Pack-only,2,PM24-Al Barakha Arabian Dates Pouch 400gm,pm,,1,1,Factory,Final FG (packing)
Al Barakah Dates Arabian 500g,D: Pack-only,3,PM24-3 Ply Carton Al Barakah Dates for 500 gm Green (420x310x110mm) 10 Kg,pm,,0.05,1,Factory,Final FG (packing)
Al Barakah Dates Golden 300g,,1,AL BARAKAH KHALAS DATES,rm,,0.3,1,Factory,Final FG (Sorting+Packing)
Al Barakah Dates Golden 300g,,2,PM24-Al Barakah Golden Date Pouch 500 gm,pm,,1,1,PM Store,Final FG (packing)
Al Barakah Dates Golden 300g,,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.036,1,PM Store,Final FG (packing)
Al Barakah Dates Golden 500g,D: Pack-only,1,AL BARAKAH BARHI DATES 10KG,rm,,0.5,1,Factory,Final FG (Sorting+Packing)
Al Barakah Dates Golden 500g,D: Pack-only,2,PM24-Al Barakah Golden Date Pouch 500 gm,pm,,1,1,Factory,Final FG (packing)
Al Barakah Dates Golden 500g,D: Pack-only,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.05,1,Factory,Final FG (packing)
Al Barakah Dates Gulf 300g,,1,AL BARAKAH KHALAS DATES,rm,,0.3,1,Factory,Final FG (Sorting+Packing)
Al Barakah Dates Gulf 300g,,2,PM24-Al Barakah Golden Date Pouch 500 gm,pm,,1,1,PM Store,Final FG (packing)
Al Barakah Dates Gulf 300g,,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.036,1,PM Store,Final FG (packing)
Al Barakah Dates Khalas 35gm,,1,AL BARAKAH KHALAS DATES,rm,,0.035,1,Factory,Final FG (Sorting+Packing)
Al Barakah Dates Khalas 35gm,,2,PM24-Al Barakah Khalas Dates Pouch-Sample Pouch 30 gm,pm,,1,1,PM Store,Final FG (packing)
Al Barakah Dates Khaneizi 35gm,,1,Khaneizi Dates,rm,,0.035,1,Factory,Final FG (Sorting+Packing)
Al Barakah Dates Khaneizi 35gm,,2,PM24-Al Barakah Khneize Dates Pouch-3 Dates-190mm x 115 mm-Sample Pouch 50 gm,pm,,1,1,PM Store,Final FG (packing)
Al Barakah Dates Oman Seedless 1kg,B: Transform->Pack (in-line),1,AL BARAKAH FARD DATES STANDARD,rm,,1,1,Factory,Create WIP
Al Barakah Dates Oman Seedless 1kg,B: Transform->Pack (in-line),2,PM24-Pet 800 gm Regular (cred),pm,,1,1,Factory,Final FG (packing)
Al Barakah Dates Oman Seedless 1kg,B: Transform->Pack (in-line),3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.1,1,Factory,Final FG (packing)
Al Barakah Dates Safavi 35gm,,1,Wet Dates Safavi,rm,,0.035,1,Factory,Final FG (Sorting+Packing)
Al Barakah Dates Safavi 35gm,,2,PM24-Al Barakah Safawi Dates-Sample Pouch 30 gm,pm,,1,1,PM Store,Final FG (packing)
Al Barakah Dates Safavi 400g,D: Pack-only,1,Wet Dates Safavi,rm,,0.4,1,Factory,Final FG (Sorting+Packing)
Al Barakah Dates Safavi Seedless 400g,B: Transform->Pack (in-line),1,Wet Dates Safavi,rm,,0.4,1,Factory,Create WIP
Al Barakah Dates Safavi Seedless 400g,B: Transform->Pack (in-line),2,PM24-Al Barakah Seedless Safawi Dates 400 gm,pm,,1,1,Factory,Final FG (packing)
Al Barakah Dates Safavi Seedless 400g,B: Transform->Pack (in-line),3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.04,1,Factory,Final FG (packing)
AL BARAKAH DATES SYRUP (400G Packing),D: Pack-only,1,AL BARAKAH DATES SYRUP (400G Packing),rm,,1,1,Factory,Final FG (Sorting+Packing)
Al Barakah Dehydrated Date Powder 250g,D: Pack-only,1,AL BARAKAH DEHYDRATED DATE POWDER - BULK PACK 10KG,rm,,0.25,1,Factory,Final FG (Sorting+Packing)
Al Barakah Dehydrated Date Powder 250g,D: Pack-only,2,PM24-Al Barakah Date Powder Pouch 250gm,pm,,1,1,PM Store,Final FG (packing)
Al Barakah Dehydrated Date Powder 250g,D: Pack-only,3,PM24-5 Ply Carton Al Barakah Date Powder,pm,,0.083,1,PM Store,Final FG (packing)
Al Barakah Emirate Dates 500gm,D: Pack-only,1,AL BARAKAH PREMIUM EMIRATES DATES 500G.,fg,,1,1,Factory,Final FG (Sorting+Packing)
Al Barakah Fard Dates 400g,D: Pack-only,1,AL BARAKAH FARD DATES STANDARD,rm,,0.41,1,Factory,Final FG (Sorting+Packing)
Al Barakah Fard Dates 400g,D: Pack-only,2,PM24-Al Barakah Fard Dates Pouch (185 x 235 mm) 500 gm,pm,,1,1,Factory,Final FG (packing)
Al Barakah Fard Dates 400g,D: Pack-only,3,PM24-5 Ply Carton CF24 10kg (390X290X220) (D Mart)-Unprinted,pm,,0.05,1,Factory,Final FG (packing)
AL BARAKAH FARD DATES PREMIUM - 500g,D: Pack-only,1,AL BARAKAH FARD DATES PREMIUM - 10KG,rm,,0.5,1,Factory,Final FG (Sorting+Packing)
AL BARAKAH FARD DATES PREMIUM - 500g,D: Pack-only,2,PM24-Al Barakah Fard Delight Dates 500 gm Pouch Digital,pm,,1,1,Factory,Final FG (packing)
AL BARAKAH FARD DATES PREMIUM - 500g,D: Pack-only,3,PM24-3 Ply Carton Al Barakah Dates for 500 gm Green (420x310x110mm) 10 Kg,pm,,0.05,1,PM Store,Final FG (packing)
Al Barakah Gulf Dates 250gm,,1,AL BARAKAH BARHI DATES 10KG,rm,,0.25,1,Factory,Final FG (Sorting+Packing)
Al Barakah Gulf Dates 250gm,,2,PM24-Gulf Dates 200 gm Pouch Digital,pm,,1,1,PM Store,Final FG (packing)
Al Barakah Gulf Dates 250gm,,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.036,1,PM Store,Final FG (packing)
AL BARAKAH KHALAS DATES 1KG,D: Pack-only,1,AL BARAKAH KHALAS DATES,rm,,1,1,Factory,Final FG (Sorting+Packing)
Al Barakah Khalas Dates 400g,D: Pack-only,1,AL BARAKAH KHALAS DATES,rm,,0.4,1,Factory,Final FG (Sorting+Packing)
AL BARAKAH KHALAS DATES 500 Gm,D: Pack-only,1,AL BARAKAH KHALAS DATES,rm,,0.5,1,Factory,Final FG (Sorting+Packing)
AL BARAKAH KHALAS DATES 500 Gm,D: Pack-only,2,PM24-Al Barakah Khalas Dates 500 gm Pouch Digital,pm,,1,1,Factory,Final FG (packing)
AL BARAKAH KHALAS DATES 500 Gm,D: Pack-only,3,PM24-3 Ply Carton Al Barakah Dates for 500 gm Green (420x310x110mm) 10 Kg,pm,,0.05,1,PM Store,Final FG (packing)
AL BARAKAH KHALAS DATES SEEDLESS 350GM,B: Transform->Pack (in-line),1,Wet Dates Seedless Khalas,rm,,0.35,1,Factory,Create WIP
AL BARAKAH KHALAS DATES SEEDLESS 350GM,B: Transform->Pack (in-line),2,PM24-AL Barakah Premium Seedless Dates Pouch 500 gm,pm,,1,1,Factory,Final FG (packing)
AL BARAKAH KHALAS DATES SEEDLESS 350GM,B: Transform->Pack (in-line),3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.35,1,Factory,Final FG (packing)
Al Barakah Khanezi Dates 500 GM,D: Pack-only,1,Khaneizi Dates,rm,,0.51,1,Factory,Final FG (Sorting+Packing)
Al Barakah Khanezi Dates 500 GM,D: Pack-only,2,PM24-3 Ply Carton Al Barakah Dates for 500 gm Green (420x310x110mm) 10 Kg,pm,,0.05,1,Factory,Final FG (packing)
Al Barakah Khanezi Dates 500 GM,D: Pack-only,3,PM24-Al Barakah Khneize Dates Pouch-(185 x 235 mm) 500 gm,pm,,1,1,Factory,Final FG (packing)
Al Barakah Khenaizi Dates 400g,D: Pack-only,1,Khaneizi Dates,rm,,0.41,1,Factory,Final FG (Sorting+Packing)
Al Barakah Khenaizi Dates 400g,D: Pack-only,2,PM24-Al Barakah Khneize Dates Pouch-(185 x 235 mm) 500 gm,pm,,1,1,Factory,Final FG (packing)
Al Barakah Khenaizi Dates 400g,D: Pack-only,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.04,1,Factory,Final FG (packing)
Al Barakah Kimia Dates 500 Gm,D: Pack-only,1,Mazafati Dates,rm,,0.5,1,Factory,Final FG (Sorting+Packing)
Al Barakah Kimia Dates 500 Gm,D: Pack-only,2,PM24-Al Barakah Kimia Dates Tub 700Ml-Square Container 500 gm,pm,,1,1,PM Store,Final FG (packing)
Al Barakah Kimia Dates 500 Gm,D: Pack-only,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.05,1,PM Store,Final FG (packing)
Al Barakah Medjoul Dates 500Gm,D: Pack-only,1,Medjoul Dates Large,rm,,0.5,1,Factory,Final FG (Sorting+Packing)
Al Barakah Medjoul Dates 500Gm,D: Pack-only,2,PM24-Al barakah Medjoul Dates Top 500 gm,pm,,1,1,PM Store,Final FG (packing)
Al Barakah Medjoul Dates 500Gm,D: Pack-only,3,PM24-Al Barakah Dates Bottom Printed 500 gm,pm,,1,1,PM Store,Final FG (packing)
Al Barakah Medjoul Dates 500Gm,D: Pack-only,4,PM24-3 Ply Carton Al Barakah Dates for 500 gm Green (420x310x110mm) 10 Kg,pm,,0.042,1,PM Store,Final FG (packing)
Al Barakah Oman 600g,,1,Khaneizi Dates,rm,,0.6,1,Factory,Final FG (Sorting+Packing)
Al Barakah Oman Dates 400g,D: Pack-only,1,Oman Dates,rm,,0.4,1,Factory,Final FG (Sorting+Packing)
Al Barakah Oman Dates 400g,D: Pack-only,2,PM24-Al Barakah Oman Date Pouch 500 gm,pm,,1,1,Factory,Final FG (packing)
Al Barakah Oman Dates 500gm Tub,D: Pack-only,1,Oman Dates,rm,,0.5,1,Factory,Final FG (Sorting+Packing)
Al Barakah Premium Emirate Date Seedless (500gmx16),,1,Wet Dates Seedless Khalas,rm,,8,1,Factory,Final FG (Sorting+Packing)
Al Barakah Premium Emirate Date Seedless (500gmx16),,2,PM24-3 Ply Carton Al Barakah Dates for 500 gm Green (420x310x110mm) 10 Kg,pm,,1,1,PM Store,Final FG (packing)
Al Barakah Premium Emirates Dates (500gm x 16 Nos),,1,10KG AL BARKAH SUFRI DATES,rm,,8,1,Factory,Final FG (Sorting+Packing)
Al Barakah Premium Emirates Dates (500gm x 16 Nos),,2,PM24-3 Ply Carton Al Barakah Dates for 500 gm Green (420x310x110mm) 10 Kg,pm,,1,1,PM Store,Final FG (packing)
Al Barakah Premium Medjool 800gm,D: Pack-only,1,AL BARAKAH MEDJOOL WET DATES PREMIUM,rm,,0.8,1,Factory,Final FG (Sorting+Packing)
Al Barakah Premium Medjool 800gm,D: Pack-only,2,PM24-Pet 800 gm Regular (cred),pm,,1,1,Factory,Final FG (packing)
Al Barakah Premium Medjool 800gm,D: Pack-only,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.08,1,Factory,Final FG (packing)
AL BARAKAH PREMIUM SEEDLESS DATES 500G,B: Transform->Pack (in-line),1,Wet Dates Seedless Khalas,rm,,0.575,1,Factory,Create WIP
AL BARAKAH PREMIUM SEEDLESS DATES 500G,B: Transform->Pack (in-line),2,PM24-AL Barakah Premium Seedless Dates Pouch 500 gm,pm,,1,1,Factory,Final FG (packing)
AL BARAKAH PREMIUM SEEDLESS DATES 500G,B: Transform->Pack (in-line),3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.05,1,Factory,Final FG (packing)
AL BARAKAH SAFAVI DATES 500gm,D: Pack-only,1,Wet Dates Safavi,rm,,0.5,1,Factory,Final FG (Sorting+Packing)
AL BARAKAH SAFAVI DATES 500gm,D: Pack-only,2,PM24-Al Barakah Safawi Dates Pouch 500 gm,pm,,1,1,Factory,Final FG (packing)
AL BARAKAH SAFAVI DATES 500gm,D: Pack-only,3,PM24-3 Ply Carton Al Barakah Dates for 500 gm Green (420x310x110mm) 10 Kg,pm,,0.05,1,PM Store,Final FG (packing)
Almond Apricot and Seeds Date Balls 48 gms,B: Transform->Pack (in-line),1,Wet Dates Seedless Khalas,rm,,0.0144,1,Factory,Create WIP
Almond Apricot and Seeds Date Balls 48 gms,B: Transform->Pack (in-line),2,AL Barakah Date Paste,rm,,0.0096,1,Factory,Create WIP
Almond Apricot and Seeds Date Balls 48 gms,B: Transform->Pack (in-line),3,American Almonds Tukda,rm,,0.0115,1,Factory,Create WIP
Almond Apricot and Seeds Date Balls 48 gms,B: Transform->Pack (in-line),4,Turkey Apricot No. 0,rm,,0.0048,1,Factory,Create WIP
Almond Apricot and Seeds Date Balls 48 gms,B: Transform->Pack (in-line),5,Pumpkin Seed 12%,rm,,0.0048,1,Factory,Create WIP
Almond Apricot and Seeds Date Balls 48 gms,B: Transform->Pack (in-line),6,Flax Seeds (Alsi),rm,,0.0029,1,Factory,Create WIP
Almond Blanched Sliced,C: Pack of existing SFG,1,"Almond Blanched, whole",sfg,SFG0008,1,1,Factory,Final FG (opening RM)
Almond Blanched Sliced,C: Pack of existing SFG,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.1,1,PM Store,Final FG (packing)
"Almond Blanched, whole",A: WIP producer (bulk),1,American Almonds Tonch,rm,,1,1,Factory,Create WIP
"Almond Blanched, whole",A: WIP producer (bulk),2,PM24-Vacuum Pouch-510 x 560mm-65 G-125 Micron-10 Kg 10000 gm,pm,,0.1,1,PM Store,Final FG (packing)
"Almond Blanched, whole",A: WIP producer (bulk),3,PM24-Oxygen Absorber For Vacuum 10 Kg /500 Cc 500 cc,pm,,1,1,PM Store,Final FG (packing)
"Almond Blanched, whole",A: WIP producer (bulk),4,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.1,1,PM Store,Final FG (packing)
Almond Cranberry Black currant and seeds Date Balls 48 gms,B: Transform->Pack (in-line),1,Wet Dates Seedless Khalas,rm,,0.0144,1,Factory,Create WIP
Almond Cranberry Black currant and seeds Date Balls 48 gms,B: Transform->Pack (in-line),2,AL Barakah Date Paste,rm,,0.0096,1,Factory,Create WIP
Almond Cranberry Black currant and seeds Date Balls 48 gms,B: Transform->Pack (in-line),3,Almond Powder,rm,,0.0105,1,Factory,Create WIP
Almond Cranberry Black currant and seeds Date Balls 48 gms,B: Transform->Pack (in-line),4,Dried Cranberry Sliced,rm,,0.0034,1,Factory,Create WIP
Almond Cranberry Black currant and seeds Date Balls 48 gms,B: Transform->Pack (in-line),5,Dried Black Currant,rm,,0.0034,1,Factory,Create WIP
Almond Cranberry Black currant and seeds Date Balls 48 gms,B: Transform->Pack (in-line),6,Pumpkin Seeds Roasted,fg,,0.0043,1,Factory,Create WIP
Almond Cranberry Black currant and seeds Date Balls 48 gms,B: Transform->Pack (in-line),7,Flax Seeds (Alsi),rm,,0.0024,1,Factory,Create WIP
Almond Flavoured Cajun Loose,,1,American Almonds Running 25-27 count,rm,,1,1,Factory,Final FG (Sorting+Packing)
Almond Flavoured Smoked Paprika Loose,,1,American Almonds Running 25-27 count,rm,,0.94,1,Factory,Final FG (Sorting+Packing)
Almond Flavoured Smoked Paprika Loose,,2,SWEET PAPRIKA POWDER,rm,,0.08,1,Factory,Final FG (Sorting+Packing)
Almond Kernal 150gm,D: Pack-only,1,American Almonds Running 25-27 count,rm,,0.15,1,Factory,Final FG (Sorting+Packing)
Almond Kernal 450gm,D: Pack-only,1,American Almonds Kernel 20-22 count,rm,,0.45,1,Factory,Final FG (Sorting+Packing)
Almond Masala,B: Transform->Pack (in-line),1,American Almonds Running 25-27 count,rm,,0.93,1,Factory,Create WIP
Almond Masala,B: Transform->Pack (in-line),2,Masala Seasoning,rm,,0.08,1,Factory,Create WIP
Almond Peri Peri,B: Transform->Pack (in-line),1,American Almonds Running 25-27 count,rm,,0.94,1,Factory,Create WIP
Almond Peri Peri,B: Transform->Pack (in-line),2,Peri Peri Marination Seasoning,rm,,0.07,1,Factory,Create WIP
Almond Peri Peri,B: Transform->Pack (in-line),3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.1,1,Factory,Final FG (packing)
Almond Plain 75gm,,1,American Almonds Running 25-27 count,rm,,0.075,1,Factory,Final FG (Sorting+Packing)
Almond Plain 75gm,,2,PM24-Pet 100 gm,pm,,1,1,PM Store,Final FG (packing)
Almond Roasted,D: Pack-only,1,American Almonds Running 25-27 count,rm,,1.01,1,Factory,Final FG (Sorting+Packing)
Almond Roasted,D: Pack-only,2,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.1,1,Factory,Final FG (packing)
Almond Selected 230g,D: Pack-only,1,American Almonds ( 18-20 Count),rm,,0.23,1,Factory,Final FG (Sorting+Packing)
Almond Selected 230g,D: Pack-only,2,PM24-Pet Jar 250 gm,pm,,1,1,PM Store,Final FG (packing)
Almond Sliced,A: WIP producer (bulk),1,American Almonds Tonch,rm,,1.15,1,Factory,Create WIP
Almonds Halves Loose,,1,American Almonds Running 25-27 count,rm,,1,1,Factory,Final FG (Sorting+Packing)
Almonds Halves Loose,,2,PM24-Vacuum 240x260mm (Common)- 110 Micron 500 gm,pm,,1,1,PM Store,Final FG (packing)
Almonds Kernel Cube Cut,B: Transform->Pack (in-line),1,American Almonds Pin Tonch,rm,,1,1,Factory,Create WIP
Alpino Peanut Crackers Chipotle Honey 60g,,1,Peanut Crackers Chipotle Honey Bulk,fg,,0.06,1,Factory,Final FG (Sorting+Packing)
Alpino Peanut Crackers Smokey BBQ 60g,,1,Peanut Crackers Smokey BBQ Bulk,fg,,0.06,1,Factory,Final FG (Sorting+Packing)
Amary Dates 250g (1356293),D: Pack-only,1,Amary Dates,rm,,0.25,1,Factory,Final FG (Sorting+Packing)
Amary Dates 250g (1356293),D: Pack-only,2,PM24-Natures Dryfruit 200G Pouch[130mm x 210mm] 200 gm,pm,,1,1,Factory,Final FG (packing)
Amary Dates 250g (1356293),D: Pack-only,3,PM24-3 Ply Carton CF24 10 Kg (390x290x220mm) 10000 gm -Unprinted,pm,,0.025,1,Factory,Final FG (packing)
Amazon Brand - Vedaka California Almonds 200gm,,1,American Almonds Running 25-27 count,rm,,0.2,1,Factory,Final FG (Sorting+Packing)
Amazon Brand - Vedaka California Almonds 200gm,,2,PM24-Vedaka Purple Pouch 200GM,pm,,1,1,PM Store,Final FG (packing)
Amazon Brand - Vedaka Premium Dry Fruits Combo 400 gm Gift Box ( B0BBDJMLYR ),D: Pack-only,1,PM24-Vedaka Purple Pouch 100GM,pm,,4,1,Factory,Final FG (packing)
Amazon Brand - Vedaka Premium Dry Fruits Combo 400 gm Gift Box ( B0BBDJMLYR ),D: Pack-only,2,American Almonds Running 25-27 count,rm,,0.1,1,Factory,Final FG (Sorting+Packing)
Amazon Brand - Vedaka Premium Dry Fruits Combo 400 gm Gift Box ( B0BBDJMLYR ),D: Pack-only,3,Indian Green Raisins,rm,,0.1,1,Factory,Final FG (Sorting+Packing)
Amazon Brand - Vedaka Premium Dry Fruits Combo 400 gm Gift Box ( B0BBDJMLYR ),D: Pack-only,4,Cashew 320,rm,,0.1,1,Factory,Final FG (Sorting+Packing)
